basename	wburl
000115fe0a73f73cb77f3c5616caeaddb94c19d2	https://web.archive.org/web/20100920173941/http://cityofevanston.org/assets/pdf/minutes/plan/pdf/7908PCTscript.pdf
0000ed98f6c3092235dcafa710aeb145d02f11a8	https://web.archive.org/web/20081119235248/http://www.lucdumont.com/pdf/tunousoffreslespoir.pdf
0000de3fc7cc2d6d45dca25c4c978ed2e9816e88	https://web.archive.org/web/20160331070629/http://seinet.com.mk/FileServer.aspx?file=20664
00001f1fe745ce8e0e01b251bc5dce4e1cf96ba5	https://web.archive.org/web/20160309015131/http://www.psas.org:80/pdfs/AAATRANSFERSPN1617.pdf
0000ff7690c813eb108dfce12d55434dd3b5ffbf	https://web.archive.org/web/20150529055408/http://www.showayakka-jh.ed.jp:80/new/20150421.pdf
00003fe5bc1c27cab8c94545e3daa1ac36d19eff	https://web.archive.org/web/20100102142529/http://www.dphuesca.es/boph/pdfs/BOPH20080118.pdf
0000cfdb39afc8a43c993d50aa6cb73ba7130f85	https://web.archive.org/web/20150328210002/http://pdfs.360baogao.com/2009-08/2009%E5%B9%B4%E4%B8%AD%E5%9B%BD%E6%97%A0%E7%BA%BF%E4%B8%8A%E7%BD%91%E5%8D%A1%E8%A1%8C%E4%B8%9A%E9%87%8D%E7%82%B9%E4%BC%81%E4%B8%9A%E7%BB%8F%E8%90%A5%E7%8A%B6%E5%86%B5%E7%A0%94%E7%A9%B6%E6%8A%A5%E5%91%8A.pdf
0000fa3cc4fab9aebd2371bf0277e862fb680016	https://web.archive.org/web/20061105144315/http://www.kawarthasmallbusiness.com/pdf/doc9005.pdf
0000835f991e8ebebc3c299f0a0d238fe4262879	https://web.archive.org/web/20100801032928/http://www.placer.ca.gov/Departments/CommunityDevelopment/Building.aspx?pdf=1
00007e2c89ac9e33144acf2db9dc28e9480451f2	https://web.archive.org/web/20061210145952/http://www.nouveauxgolfsdefrance.com/fichiers/resultatsCompetition/406/result22avrilbrut.pdf
000045796bcd04cb98c6948f32815995ed64988a	https://web.archive.org/web/20120220031532/http://nicearticles.net/index.php?view=article&catid=220:visual-graphic-arts&id=20992:photo-on-canvas-prints-unquestionably-the-optimal-method-of-printing-enlarged-images&format=pdf
00007382adb7c521b63c647c6354548d7750d140	https://web.archive.org/web/20130226013724/http://www.eurocontrol.int/sites/default/files/content/documents/single-sky/pru/performance-plans/ro-pp.pdf
