basename	wburl
1df305abb23b246a92841c82608729d5858844d0	https://web.archive.org/web/20180724183848/https://cloudfront.escholarship.org/dist/prd/content/qt4jr8k75p/qt4jr8k75p.pdf
078a4f22f7972e1362f6787c528e2df7bae53d94	https://web.archive.org/web/20180719015504/http://cds.cern.ch/record/798151/files/0410047.pdf
8205bab97b1d8680ad183037c0ac3e685ff12eb6	https://web.archive.org/web/20170924142526/https://digital.library.unt.edu/ark:/67531/metadc666685/m2/1/high_res_d/226000.pdf
431b28c4fb78ac4c45c2ddd2cb28f26565f3d274	https://web.archive.org/web/20170922160627/http://journals.iucr.org/e/issues/2011/05/00/lh5233/lh5233.pdf
9345177a5485e47475a3f4fc54e2699888fc097e	https://web.archive.org/web/20140720164531/http://esciencecentral.org/journals/the-relationship-between-stress-leisure-time-vigorous-physical-activity-and-depressive-symptoms-jcalb.1000120.pdf
0f85411fce3c4eb96fb9af873d887e1d4bf4e907	https://web.archive.org/web/20180723201135/https://heart.bmj.com/content/heartjnl/79/4/315.full.pdf
1fed1c2b3b8e480f104331bb624220c557127654	https://web.archive.org/web/20150321191444/http://apcz.pl/czasopisma/index.php/TSP-W/article/download/TSP-W.2014.007/4730
5d0c224afabec0f1e16e7ca6397ba5a7aeafa536	https://web.archive.org/web/201903161721/https://core.ac.uk/download/pdf/82764946.pdf
717ff3749e53b16eab73c0b3948dba635bb79cc3	https://web.archive.org/web/20170706013640/http://erj.ersjournals.com/content/erj/early/2012/03/08/09031936.00204311.full.pdf
9bf5ab12df5c299332566c9872d09cadb14920fe	https://web.archive.org/web/20180719032434/http://ir.igsnrr.ac.cn/bitstream/311030/38635/1/Hao-2015-Impact%20of%20livelihood.pdf
7d8354eca14e437abfdc368f4499ffc215ec6d01	https://web.archive.org/web/20180725204956/http://www.ndsl.kr/soc_img/society/ksiec/GOOOB2/2013/v24n6/GOOOB2_2013_v24n6_668.pdf
5eeeaccd9130cb86a1062b15b873ac8fa1271e55	https://web.archive.org/web/20100710050201/http://www.geol.ucsb.edu/faculty/luyendyk/Luyendyk_pdf/Wilson&Luyendyk2006Gcubed.pdf
6e8fddc39b711ab6743a5fef7a0a65f17ac679e6	https://web.archive.org/web/201902251302/http://pdfs.semanticscholar.org/6e8f/ddc39b711ab6743a5fef7a0a65f17ac679e6.pdf
305d952b78b727334295d0604df31e97ded89668	https://web.archive.org/web/20180427020027/http://www.erciyesmedj.com/sayilar/222/buyuk/pdf_EMJ_155.pdf
00858233d71311db186e8efcf535d1cd18524ad6	https://web.archive.org/web/20060504011207/http://imp-muenchen.de:80/fileadmin/user_upload/Chronobiology/Papers/2002_Evolution_JBR.pdf
4fa0fcc58feec54b08627017c0218505656f601c	https://web.archive.org/web/20170921215816/http://www.dtic.mil/get-tr-doc/pdf?AD=ADA069946
48f8adb9f0804511ff5212e4b1b2931a8bbb9cfb	https://web.archive.org/web/2017/http://www.harlmemphis.org/files/3714/0208/3181/23.pdf
8ddacc23ae601903c04c42348429d56469720147	https://web.archive.org/web/20180502223055/http://www.ijariie.com/AdminUploadPdf/Preparation_of_Al_6061__SiC_Metal_Matrix_Composite__MMC__using_Stir_Casting_Technique_ijariie1204_volume_1_13_page_79_82.pdf
6fd01ad231bbefd229a7c933fbf7f78937bc956d	https://web.archive.org/web/20180723080919/https://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0030-1256205.pdf
35e118c6bb1cb26d89615b2e128223e8b97ca727	https://web.archive.org/web/20180723191445/http://eprints.gla.ac.uk/93907/1/93907.pdf
98c5d22727c2c6a5687156297f73296092b1949a	https://web.archive.org/web/201807241024/http://www.revistas.usp.br/ars/article/download/96737/95910
0029cbf0a4b601fc62190a3ff92610bc017ad30c	https://web.archive.org/web/20180421133120/http://www.robes.fa.ru/docs/articles/robes-4-2014_80-86.pdf
397556b032146ba3fa124d4014fe5cacae232c9b	https://web.archive.org/web/20080422005836/http://books.nips.cc/papers/files/nips16/NIPS2003_AA13.pdf
a0df604a8c2ccc5f4cffff97c6cf683157c2fc0d	https://web.archive.org/web/20170924042112/https://hal.archives-ouvertes.fr/jpa-00213979/document
